Name,Tags,Attack / Modifiers,On Use / Effect,Carry,Sheet UI,Implementation,Shop,Buy,Sell,Class Access,Foe Immune,Foe Vulnerable,Review Notes,PDF
Herbal tonic,herbal_remedy,None in combat engine,PDF remedy effects,Supply,Inventory,Buy/sell only,Yes,20gp,10gp,All (herbal_remedy category),—,—,Wire remedy effects if in PDF,EE p.86
Scroll tube,supply,None,Protect scrolls (utility),Supply,Inventory,Inventory only,Yes,4gp,2gp,All,—,—,Low priority,EE p.86
Gilding,service,Gilded suffix on wielded weapon; +1 vs demons,Service in shop (target_weapon),N/A,Shop + inventory suffix,Wired: per-weapon gild suffix + demon bonus,Yes,50gp,25gp,All,—,—,Bribe gilding still open,EE p.87
Gremlin repellant,herbal_remedy,None,Ignore one invisible gremlin steal,Supply,use_gremlin_repellant,Wired: gremlin event,Yes,5gp,2gp,All,—,—,Miners' Ointment similar in caverns,EE p.87
Handgun,"missile, two-handed, firearm",Standard missile,Missile combat,2 slots,Default missile,Wired; uses bow class gate,Yes,30gp,15gp,Classes allowed bow,—,—,Black powder rules in PDF supplements?,EE p.87
Black powder rifle,"missile, two-handed, firearm",Standard missile,Missile,2 slots,Default missile,Wired,Yes,90gp,45gp,Bow-allowed classes,—,—,Same as handgun,EE p.87
Wolfsbane,herbal_remedy,None,Combat throw vs lycanthropes (2 Life),Supply,Throw wolfsbane,Wired: use_wolfsbane,Yes,10gp,5gp,All,Lycanthropes only,Lycanthropes,Shop + combat throw,EE p.87
Throwing star,"missile, light, slashing, thrown",Light: -1,Thrown missile profile,1 slot,Inventory / combat if selected,Wired parse; mushroom monk flurry eligible,Yes,2gp,1gp,thrown_light_weapon → light_weapon gate,—,—,Expert knife throw vs throwing star,EE p.88
Good lock-picks,"supply, rogue",+1 lockpick door attempts,Lock picking aid,Supply,Inventory,Wired: extra_door_modifier +1 lockpick,Yes,25gp,12gp,All can buy supply,—,—,Stacks with rogue +Level,EE p.88
Stake,"melee, light, slashing",Light: -1,Melee weapon,1 slot,Default melee eligible,Wired weapon profile,Yes,6gp,3gp,Light weapon classes,—,—,Vampire lore interaction?,EE p.88
Crowbar,"melee, light, slashing",Light: -1; +1 bash,Melee + door bash (+1; any class may bash with crowbar),1 slot,Inventory,Wired: can_bash_door + extra_door_modifier,Yes,10gp,5gp,Light weapon classes,—,—,Warrior/barbarian bash without crowbar,EE p.88
Berserker's Mushroom,"herbal_remedy, consumable",PDF rage effect,Eat in exploration: one rage attack next combat,Supply,Eat Berserker's Mushroom,Wired: eat_berserkers_mushroom + combat rage hook,Yes,15gp,7gp,All,—,—,Distinct from fungal rare mushrooms,EE p.88
Acid vial,"consumable, thrown, acid",Attack roll,Throw; acid damage; suppresses regen,Supply,Combat consumable,Wired: use_acid_vial; not in shop buy list,No buy,15gp resale,All (supply),Undead/golems per Fiendish table,Regenerating foes,Fiendish loot + resale override only,EE shop extension / Fiendish Foes vial table
Wand of Sleep (3 charges),"magic, wand, charges",Spellcasting roll +L; Sleep spell,Spend charge to cast Sleep,Supply,use_magic_item,Wired charges + class restrictions,Treasure,N/A,30gp/charge,"Wizard, illusionist, elf","Sleep-immune (undead, dragon, etc.)",Sleep-eligible,Slumber Amanita stacks +Tier on Sleep,EE p.158
Ring of Teleportation,"magic, ring, reactive",Auto-pass Defense once,Leave combat; rejoin after fight,1,Inventory,Wired magic item,Treasure,N/A,50gp unused; d6+1 used,Any wielder,N/A,N/A,Single use then inert,EE p.158
Fools' Gold,"magic, consumable, bribe",Auto-satisfy bribe,Next bribe reaction,Supply,Inventory,Wired reaction,Treasure,N/A,20gp unused,Any,N/A,N/A,One use,EE p.158
Magic Weapon (+1 / +2),"melee/missile, magic, slashing/crushing per roll",+1 or +2 Attack; type d6 roll (crushing/slashing/light/hand/2H/bow),Permanent wielded weapon,1–2 slots by type,Default weapon; attack bonus in combat log,"Wired: roll type, parse, resale formula",Treasure,N/A,100gp + 2× base weapon cost,Per weapon type class rules,N/A,Crushing +1 vs skeletons when applicable,Fiendish +2 variant; wielder class check on loot,EE p.158; Fiendish p. magic table
Fireball Staff (2 charges),"magic, staff, charges, fire",Fireball at +L,Spend charge,Supply,use_magic_item,Wired; wizard-only,Treasure,N/A,60gp/charge,Wizard,Fire-immune,Foes vulnerable to Fireball,Fungal roll 6 → mushroom table instead,EE p.158
Magic Armor (+1 / +2),"armor, magic",+1 or +2 Defense,Worn armor,Encumbrance rules,Defense totals,Fiendish treasure wired generation,Treasure,N/A,Per magic armor resale,Per armor type; barbarian no ring of protection,N/A,N/A,Shield/light/heavy/ring roll,Fiendish Foes magic treasure
Map Fragment,"utility, caverns",N/A,Once/adventure: preview next tile (consumes fragment),Supply,Use map fragment,Wired: use_map_fragment,Caverns treasure,N/A,30gp bribe value in caverns,Any,N/A,N/A,Caverns only,EE p.160
Glittering Crystal,"utility, light, caverns",N/A,Hands-free light,Supply,Inventory,Treasure loot wired,Caverns item,N/A,25gp,Any,N/A,N/A,Compare lantern hook,EE p.160
Miners' Ointment,"utility, caverns, consumable",N/A,Ignore 1 wander or gremlin,Supply,use_miners_ointment,Wired: caverns wander/gremlin skip,Caverns,N/A,20gp unused,Any,N/A,N/A,vs gremlin_repellant shop item,EE p.160
Miners' Amulet,"utility, caverns, magic",N/A,Front PC ignores 1 cavern trap/adventure,Supply,Inventory,Treasure,Caverns,N/A,30gp,Any,N/A,N/A,Trap skip wiring,EE p.160
Leafsteel Armor,"armor, light, fungal",+2 Defense; non-magical,Worn; decays after 3 adventures,Light armor slot,Inventory,Fungal rare item option,Fungal treasure,N/A,Per gear rules,Light armor classes,N/A,N/A,3-adventure decay tracking,EE p.161
Xicthul's Cap,"fungal, thrown, consumable",Auto d3 damage,Throw; 1 turn; user takes 1 damage,Supply,use_mushroom / combat,Wired fungal consumable,Fungal,N/A,60gp,Any except mushroom_monk restriction on eat,Unliving (Red Death); Xicthul hits all,Living foes,Throw timing in combat,EE p.161
Red Death mushroom,"fungal, thrown, consumable",Auto 1 damage OR -1 foe L,Throw; 1 turn,Supply,Mushroom actions,Wired,Fungal,N/A,Part of fungal resale,Any,Unliving,Living,Player chooses effect on find,EE p.161
White Angel Mushroom,"fungal, food, consumable",Eat as 1 ration; heal 2 Life,Exploration eat,Supply,use_mushroom,Wired fungal consumable,Fungal,N/A,10gp after adventure,Any except mushroom_monk,N/A,N/A,Healing expires at adventure end,EE p.161
Morel Crusher,"fungal, morale, consumable",Forces morale fail,Break in combat before morale test,Supply,Mushroom / combat,Wired,Fungal,N/A,40gp,Any,"No morale, fight-to-death, unliving, poison-immune",Morale-testing groups,Overlap Terrifying Secret,EE p.161
Wand of Power,"magic, wand, charges",+1 per charge spent on spell roll,Declare charges before wizard spell cast,Supply,Wand charge selector on spell cast,Wired: wand_power_charges + spellcasting_modifier,Fiendish treasure,N/A,20gp/charge,Wizard,N/A,N/A,2d3 charges on find,Fiendish Foes
Enchanted Paint,"magic, utility",Creates real objects ≤15gp,"Paint rations, gear, armor, shield; paint doors on map; 1-in-6 runs out",Supply,Paint choice + map door paint,Wired: use_enchanted_paint + paint_door,Fiendish,N/A,80gp,Any,N/A,N/A,Door paint on adjacent exits,Fiendish Foes
Necklace with Prayer Beads,"magic, cleric",d6: 4-6 prayer not expended,Optional bead when casting prayer,Supply,use_prayer_bead,Wired: cleric prayer bead roll,Fiendish,N/A,15gp/bead,Cleric,N/A,N/A,Bead destroyed on use,Fiendish Foes
Poison vial (envenom),"consumable, poison, slashing/missile",+1 Attack vs first foe; consumed on attack,Envenom weapon before combat,Supply,Envenom choices panel,Wired: madness.py + combat,Alchemist/event,Varies,N/A,Any with vial,"Undead, demon, blob, automaton, mold, fungus, elemental, living statue",Poison-susceptible,Not crushing weapons; blade poison item renamed,EE p.165
Arrow of Slaying,"missile, magic, consumable",Named foe slaying,One shot; bow required,Supply,Combat consumable,Wired epic reward,Epic reward,N/A,45gp fixed override,Bow carriers,Wrong target,Named foe type,Target picker UI,Epic rewards / resale table
Shield of Warning,"magic, shield, epic",Surprise/flee/shield-ignored protection,Passive while carried,Shield slot,Status chips,Wired epic reward statuses,Epic,N/A,200gp,Shield users,N/A,N/A,Combat log hints,Epic rewards
Holy Symbol of Healing,"magic, cleric, epic",Church pays 1 resurrection,Death recovery aid,Supply,Status + death UI,Wired,Epic,N/A,700gp,Typically cleric,N/A,N/A,vs resurrection service,Epic rewards
Book of Skalitos,"magic, scroll book",6 wizard spell pages,Burn pages as scrolls,Supply,Book burn UI,Wired; unused resale 650gp,Epic,N/A,650gp unused full book,Wizard scroll users,N/A,N/A,Partially burned book resale,Epic rewards
Enchanted Weapon (status),"status, epic",Best-of-2 attack dice,Epic reward combat buff,N/A,Status chip,Wired,Epic,N/A,N/A,Recipient,N/A,N/A,Adventure duration,Epic rewards
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
